,unique_songs,counts
213,Alex Clare__Too Close,921
214,Kanye West__POWER,916
215,Calvin Harris__Blame,914
216,Kanye West__All Of The Lights,914
217,Vampire Weekend__A-Punk (Album),914
218,House Of Pain__Jump Around,913
219,Sam Smith__I'm Not The Only One,913
220,Creedence Clearwater Revival__Fortunate Son,912
221,Red Hot Chili Peppers__Californication,911
222,Haim__The Wire,910
223,The Verve__Bitter Sweet Symphony - 2004 Digital Remaster,909
224,Rihanna__S&M,909
225,Dire Straits__Sultans Of Swing,908
226,Lady Gaga__Applause,908
227,Weezer__Island In The Sun,907
228,Lana Del Rey__Young And Beautiful,905
229,Rage Against The Machine__Killing In The Name,904
230,Flo Rida__Wild Ones (feat. Sia),902
231,"Train__Hey, Soul Sister",902
232,Iggy Pop__The Passenger,897
233,Soundgarden__Black Hole Sun,895
234,Grouplove__Tongue Tied,894
235,Arctic Monkeys__I Bet You Look Good On The Dancefloor,893
236,Spin Doctors__Two Princes,891
237,Queen__Don't Stop Me Now,891
238,Phoenix__If I ever feel better,891
239,JAY Z__No Church In The Wild,891
240,Pitbull__Give Me Everything,889
241,No Doubt__Don't Speak,888
242,Lana Del Rey__Summertime Sadness,887
243,Europe__The Final Countdown,885
244,blink-182__All The Small Things,885
245,Disclosure__White Noise,884
246,The Killers__All These Things That I've Done,884
247,David Guetta__Memories (feat. Kid Cudi),883
248,Robyn__Dancing On My Own,882
249,Michael Jackson__Thriller,880
250,Haim__Falling,880
251,Queens Of The Stone Age__No One Knows,878
252,Foster The People__Houdini,878
253,Ed Sheeran__Sing,877
254,Ellie Goulding__Anything Could Happen,876
255,Foster The People__Helena Beat,875
256,Sam Smith__Money On My Mind,875
257,Frank Ocean__Thinkin Bout You,875
258,Capital Cities__Safe and Sound,871
259,Lady Gaga__Poker Face,871
260,Weezer__Buddy Holly,869
261,Daft Punk__Give Life Back to Music,869
262,Beyoncé__Drunk in Love,868
263,Azealia Banks__212,866
264,The Script__Hall of Fame,865
265,Linkin Park__In The End,865
266,Death Cab for Cutie__I Will Follow You Into The Dark,864
267,Daft Punk__Harder Better Faster Stronger,863
268,Keane__Somewhere Only We Know,863
269,The Cure__Just Like Heaven,863
270,Zedd__Clarity,862
271,A Great Big World__Say Something,860
272,La Roux__Bulletproof,857
273,Santigold__Disparate Youth,857
274,Maroon 5__One More Night,853
275,George Ezra__Budapest,852
276,Ariana Grande__Break Free,850
277,American Authors__Best Day Of My Life,849
278,Kanye West__Gold Digger,846
279,Muse__Starlight,842
280,Lilly Wood and The Prick__Prayer in C - Robin Schulz Radio Edit,842
281,Bruno Mars__When I Was Your Man,841
282,Florence + The Machine__You've Got The Love,838
283,Amy Winehouse__Back To Black,838
284,Ke$ha__Die Young,837
285,Katy Perry__California Gurls - feat. Snoop Dogg,836
286,Vampire Weekend__Diane Young,836
287,The Kooks__Naive,835
288,DJ Snake__Turn Down for What,835
289,Beyoncé__Crazy in Love,834
290,Gorillaz__Clint Eastwood,833
291,Maroon 5__Payphone,832
292,A$AP Rocky__F**kin' Problems,829
293,Daft Punk__Giorgio by Moroder,828
294,System Of A Down__Chop Suey!,827
295,Macklemore & Ryan Lewis__Same Love - feat. Mary Lambert,827
296,Grimes__Oblivion,824
297,Eagle-Eye Cherry__Save Tonight,824
298,Empire Of The Sun__We Are the People,823
299,Kiesza__Hideaway,821
300,Foo Fighters__Learn to Fly,821
301,Guns N' Roses__November Rain,821
302,Arctic Monkeys__Fluorescent Adolescent,821
303,Blackstreet__No Diggity,820
304,Queen__Bohemian Rhapsody,817
305,Dr. Dre__The Next Episode,815
306,Muse__Supermassive Black Hole,814
307,Tame Impala__Elephant,813
308,Of Monsters and Men__Mountain Sound,812
309,Black Sabbath__Paranoid,810
310,The Strokes__Someday,809
311,Natalie Imbruglia__Torn,807
312,Radiohead__High And Dry,804
313,Jason Mraz__I Won't Give Up,800
314,Rihanna__Where Have You Been,800
315,alt-J__Tessellate,799
316,Joy Division__Love Will Tear Us Apart,798
317,Jimmy Eat World__The Middle,797
318,Avicii__You Make Me,797
319,Foo Fighters__My Hero,796
320,Metallica__Enter Sandman,794
321,JAY Z__99 Problems,792
322,Incubus__Drive,790
323,Jackson 5__I Want You Back,790
324,Justin Timberlake__SexyBack,790
325,Faul & Wad Ad__Changes - Original Mix,789
326,Grimes__Genesis,788
327,Tove Lo__Stay High - Habits Remix,785
328,Train__Drive By,785
329,Boston__More Than a Feeling,784
330,Radiohead__Paranoid Android,784
331,"Snoop Dogg__Young, Wild & Free (feat. Bruno Mars)",783
332,Lady Gaga__Born This Way,782
333,Pearl Jam__Alive,782
334,CHVRCHES__Recover,781
335,John Mayer__Free Fallin' - Live at the Nokia Theatre,777
336,The Proclaimers__I'm Gonna Be (500 Miles),777
337,The Cure__Boys Don't Cry,777
338,Alabama Shakes__Hold On,774
339,Otis Redding__(Sittin' On) The Dock Of The Bay,772
340,Beyoncé__Single Ladies (Put a Ring on It),772
341,Tears For Fears__Everybody Wants To Rule The World,771
342,Calvin Harris__Under Control,771
343,Jack Johnson__Better Together,770
344,Daughter__Youth,770
345,Echosmith__Cool Kids,769
346,Nicki Minaj__Super Bass,768
347,David Guetta__Titanium - feat. Sia,767
348,Skrillex__Scary Monsters And Nice Sprites,766
349,Lady Gaga__Telephone,765
350,Pearl Jam__Even Flow,762
351,Ke$ha__TiK ToK,761
352,The 1975__Chocolate,761
353,Bruno Mars__Grenade,760
354,"The Smashing Pumpkins__Tonight, Tonight",759
355,The Black Keys__Everlasting Light,758
356,Jennifer Lopez__On The Floor,757
357,Calvin Harris__Outside,756
358,Nirvana__Heart-Shaped Box,755
359,Linkin Park__Numb,755
360,Beyoncé__Halo,755
361,Katy Perry__Teenage Dream,754
362,The Shins__New Slang,754
363,Supergrass__Alright,751
364,Grizzly Bear__Two Weeks,750
365,David Guetta__Bad (feat. Vassy) - Radio Edit,747
366,The War On Drugs__Red Eyes,745
367,Haim__Forever,745
368,50 Cent__In Da Club,743
369,Swedish House Mafia__Greyhound,743
370,Electric Guest__This Head I Hold,742
371,Maroon 5__She Will Be Loved,741
372,The xx__VCR,740
373,"Kendrick Lamar__Bitch, Don’t Kill My Vibe",740
374,"Ellie Goulding__Love Me Like You Do - From Fifty Shades Of Grey""""",736
375,The Shins__Simple Song,733
376,Soft Cell__Tainted Love,733
377,Daft Punk__Around The World,733
378,The Notorious B.I.G.__Juicy,732
379,Tame Impala__Feels Like We Only Go Backwards,731
380,The Naked And Famous__Punching In A Dream,731
381,Birdy__Skinny Love,730
382,The Offspring__The Kids Aren't Alright,729
383,Mumford & Sons__Winter Winds,729
384,Dr. Dre__Still D.R.E.,728
385,Amy Winehouse__Rehab,728
386,Arctic Monkeys__When The Sun Goes Down,727
387,Bright Eyes__First Day Of My Life,727
388,Bruno Mars__The Lazy Song,727
389,Mumford & Sons__White Blank Page,726
390,David Guetta__Sexy Bitch (feat. Akon) - Featuring Akon;explicit,724
391,Spice Girls__Wannabe - Radio Edit,723
392,Maroon 5__Sugar,721
393,M.I.A.__Bad Girls,720
394,Justice__D.A.N.C.E.,720
395,Marvin Gaye__Sexual Healing,720
396,Bryan Adams__Summer Of '69,719
397,Eminem__Not Afraid,719
398,Charli XCX__Boom Clap,717
399,Kelly Clarkson__Stronger (What Doesn't Kill You),715
400,Bon Jovi__You Give Love A Bad Name,714
401,Sia__Breathe Me,714
402,Flo Rida__Whistle,713
403,Disclosure__Help Me Lose My Mind,713
404,Drake__Take Care,713
405,Ellie Goulding__Lights - Single Version,712
406,Smash Mouth__All Star,710
407,Beach House__Myth,710
408,Beyoncé__Run the World (Girls),708
409,Kaiser Chiefs__Ruby,708
410,Katy Perry__Last Friday Night (T.G.I.F.),706
411,Maroon 5__Maps,706
412,Daft Punk__Contact,706
413,Miike Snow__Animal,706
414,Foo Fighters__All My Life,705
415,Daft Punk__Fragments of Time,704
416,Yeah Yeah Yeahs__Heads Will Roll,703
417,Martin Garrix__Animals,701
418,U2__One,700
419,OutKast__Ms. Jackson,700
420,Broken Bells__The High Road,700
421,Ben Howard__Keep Your Head Up,699
422,The Wanted__Glad You Came,699
423,Men At Work__Down Under,698
424,Vampire Weekend__Unbelievers,698
425,Bloc Party__Banquet,697
426,Metronomy__The Look,696
427,The Ting Tings__That's Not My Name,695
428,Bruno Mars__Marry You,694
429,Two Door Cinema Club__Undercover Martyn,694
430,Coldplay__Princess of China,694
431,Haim__Don't Save Me,693
432,Aloe Blacc__The Man,692
433,Taylor Swift__We Are Never Ever Getting Back Together,692
434,Pixies__Here Comes Your Man,691
435,Crystal Castles__Not In Love,690
436,R.E.M.__Everybody Hurts,687
437,Bob Marley & The Wailers__Could You Be Loved,687
438,Young the Giant__Cough Syrup,687
439,Gorillaz__On Melancholy Hill,686
440,Ed Sheeran__Don't,686
441,Bombay Bicycle Club__Shuffle,685
442,Madonna__Like A Prayer,684
443,Fleetwood Mac__Dreams,683
444,The Smiths__This Charming Man (2008 Remastered Version),683
445,Muse__Undisclosed Desires,683
446,Yeah Yeah Yeahs__Maps,682
447,Beyoncé__Love On Top,682
448,Owl City__Fireflies,682
449,The Cranberries__Linger,681
450,Vampire Weekend__Step,681
451,Fall Out Boy__My Songs Know What You Did In The Dark (Light Em Up),680
452,Lykke Li__I Follow Rivers,679
453,MS MR__Hurricane,679
454,The Clash__London Calling,679
455,Kanye West__Clique,678
456,Pitbull__Feel This Moment,678
457,Radiohead__Fake Plastic Trees,677
458,Taio Cruz__Dynamite,677
459,Daft Punk__Within,676
460,MC Hammer__U Can't Touch This,676
461,Mumford & Sons__Babel,675
462,Daft Punk__The Game of Love,675
463,Bill Withers__Ain't No Sunshine,674
464,Green Day__Good Riddance [Time Of Your Life],674
465,Buffalo Springfield__For What It's Worth,674
466,U2__I Still Haven't Found What I'm Looking For,673
467,TLC__No Scrubs,672
468,Simon & Garfunkel__Mrs. Robinson,672
469,Foster The People__Call It What You Want,671
470,The Cardigans__My Favourite Game,671
471,Blur__Girls And Boys,670
472,LCD Soundsystem__Dance Yrself Clean,670
473,Phoenix__Entertainment,669
474,Coldplay__Trouble,668
475,Avicii__I Could Be The One [Avicii vs Nicky Romero] - Nicktim - Radio Edit,668
476,Moby__Porcelain,668
477,Empire Of The Sun__Alive,668
478,Idina Menzel__Let It Go,667
479,Tracy Chapman__Fast Car,666
480,Semisonic__Closing Time,666
481,alt-J__Fitzpleasure,666
482,Red Hot Chili Peppers__Scar Tissue,666
483,Rudimental__Feel The Love - feat. John Newman,666
484,Bob Marley & The Wailers__Three Little Birds,666
485,Aretha Franklin__Respect,666
486,Jeff Buckley__Hallelujah,666
487,Phil Collins__In The Air Tonight,665
488,Don Omar__Danza Kuduro,663
489,Britney Spears__Till the World Ends,663
490,New Radicals__You Get What You Give,662
491,Jackson 5__ABC,662
492,blink-182__What's My Age Again?,661
493,The Police__Every Breath You Take,661
494,Avicii__Addicted To You,661
495,Sublime__Santeria,660
496,Daft Punk__Touch,660
497,Britney Spears__Toxic,660
498,Creedence Clearwater Revival__Bad Moon Rising,659
499,Tiësto__Wasted,659
500,Foo Fighters__Times Like These,659
501,Daft Punk__Beyond,657
502,Armin van Buuren__This Is What It Feels Like,657
503,Neon Trees__Everybody Talks,656
504,Prince & The Revolution__Purple Rain,656
505,Neil Young__Heart Of Gold,656
506,Bon Iver__Perth,655
507,Lady Gaga__Just Dance,655
508,Passion Pit__Little Secrets,655
509,Arctic Monkeys__Arabella,655
510,College & Electric Youth__A Real Hero,654
511,Pearl Jam__Jeremy,654
512,Billy Joel__Piano Man,653
513,Michael Jackson__Love Never Felt so Good,653
514,alt-J__Something Good,652
515,Gnarls Barkley__Crazy,652
516,Paramore__Misery Business,652
517,Nirvana__In Bloom,652
518,ABBA__Dancing Queen,651
519,Kanye West__Bound 2,651
520,David Guetta__She Wolf (Falling to Pieces) [feat. Sia],651
521,Fleet Foxes__White Winter Hymnal,650
522,Cyndi Lauper__Girls Just Want to Have Fun,650
523,SBTRKT__Wildfire (feat. Little Dragon),650
524,Skrillex__First Of The Year (Equinox),650
525,The Cinematic Orchestra__To Build A Home,649
526,Pulp__Common People - Full Length Version; Album Version,649
527,Jessie J__Price Tag,648
528,The Cure__Close To Me,648
529,One Direction__What Makes You Beautiful,647
530,Sigur Rós__Hoppípolla,647
531,"Radical Face__Welcome Home, Son",647
532,Alanis Morissette__Ironic,646
533,Bonnie Tyler__Total Eclipse of the Heart,646
534,Whitney Houston__I Wanna Dance with Somebody (Who Loves Me),646
535,Britney Spears__Work B**ch,646
536,Red Hot Chili Peppers__Otherside,645
537,Major Lazer__Lean On (feat. MØ & DJ Snake),644
538,Snoop Dogg__Sweat (Snoop Dogg vs. David Guetta) [Remix],644
539,Lady Gaga__Alejandro,644
540,Washed Out__Feel It All Around,644
541,The Temptations__My Girl,643
542,Foo Fighters__Walk,643
543,The Black Keys__Howlin' For You,643
544,Green Day__Wake Me Up When September Ends,642
545,P!nk__Try,641
546,Swedish House Mafia__Save the World - Radio Mix,641
547,Lenny Kravitz__Are You Gonna Go My Way,640
548,Kid Cudi__Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),640
549,Amy Winehouse__You Know I'm No Good,640
550,Drake__Started From The Bottom,640
551,Mumford & Sons__Sigh No More,640
552,Lynyrd Skynyrd__Free Bird,640
553,Lauryn Hill__Doo Wop (That Thing),639
554,Foo Fighters__Monkey Wrench,639
555,The Knife__Heartbeats,639
556,Bon Iver__Towers,638
557,Sia__Elastic Heart,638
558,Of Monsters and Men__King And Lionheart,637
559,Elton John__Your Song,636
560,The Smashing Pumpkins__Bullet With Butterfly Wings,636
561,The xx__Heart Skipped A Beat,635
562,David Guetta__Shot me Down (feat. Skylar Grey) - Radio Edit,634
563,Muse__Time Is Running Out,633
564,The Dandy Warhols__Bohemian Like You,633
565,Extreme__More Than Words,632
566,Mumford & Sons__Awake My Soul,631
567,JAY Z__Otis,631
568,Duke Dumont__I Got U,631
569,System Of A Down__Toxicity,631
570,Disclosure__You & Me - Flume Remix,630
571,The Fratellis__Chelsea Dagger,630
572,Guns N' Roses__Knockin' On Heaven's Door,630
573,Neon Indian__Polish Girl,630
574,Taylor Swift__Shake It Off,629
575,Usher__DJ Got Us Fallin' in Love,628
576,Oasis__Champagne Supernova,627
577,Stevie Wonder__Superstition - Single Version,626
578,Daft Punk__Motherboard,626
579,Hozier__Take Me to Church,626
580,The Black Keys__Gold On The Ceiling,625
581,Muse__Hysteria,625
582,Bruce Springsteen__Born to Run,624
583,Eminem__'Till I Collapse,624
584,Eminem__Stan,623
585,James Blake__Limit To Your Love,622
586,Justin Timberlake__Cry Me a River,621
587,Green Day__American Idiot,621
588,Walk the Moon__Shut Up and Dance,620
589,Al Green__Let's Stay Together,619
590,Radiohead__Everything In Its Right Place,619
591,The Kooks__She Moves In Her Own Way,619
592,Iggy Azalea__Black Widow,618
593,Elton John__Tiny Dancer,616
594,New Order__Blue Monday,616
595,Muse__Knights Of Cydonia,615
596,Hoobastank__The Reason,615
597,Cyndi Lauper__Time After Time,615
598,Lana Del Rey__National Anthem,615
599,Jessie J__Domino,615
600,Dire Straits__Walk Of Life,614
601,Led Zeppelin__Stairway To Heaven,614
602,Foster The People__Don't Stop (Color on the Walls),614
603,Weezer__Say It Ain't So,613
604,M83__Wait,611
605,The Black Eyed Peas__The Time (Dirty Bit),611
606,Paul Simon__You Can Call Me Al,611
607,Sheppard__Geronimo,610
608,The Animals__The House Of The Rising Sun,610
609,"The Offspring__You're Gonna Go Far, Kid",610
610,Aerosmith__Dream On,610
611,Kygo__Firestone,609
612,The Notorious B.I.G.__Hypnotize,608
613,Calvin Harris__Bounce - Radio Edit,608
614,Bob Dylan__The Times They Are A-Changin',606
615,The White Stripes__Fell In Love With A Girl,605
